element,comp_id,skater_fullname,event,bv,goe,edge_call,underrotated,downgraded,invalid,other_error,num_jump_errors,num_quads,num_triples,num_doubles,date
4T+3T,WC_1011,Patrick CHAN,MEN_SP,14.40,1.86,0,0,0,0,0,0,1,1,0,2011-04-25
3A,WC_1011,Patrick CHAN,MEN_SP,8.50,1.86,0,0,0,0,0,0,0,1,0,2011-04-25
3F,WC_1011,Patrick CHAN,MEN_SP,5.30,1.50,0,0,0,0,0,0,0,1,0,2011-04-25
4T,WC_1011,Nobunari ODA,MEN_SP,10.30,-2.43,0,0,0,0,0,0,1,0,0,2011-04-25
3A,WC_1011,Nobunari ODA,MEN_SP,8.50,2.00,0,0,0,0,0,0,0,1,0,2011-04-25
3Lz+3T,WC_1011,Nobunari ODA,MEN_SP,10.10,1.00,0,0,0,0,0,0,0,2,0,2011-04-25
3F+3T,WC_1011,Daisuke TAKAHASHI,MEN_SP,9.40,-0.10,1,0,0,0,0,1,0,2,0,2011-04-25
3A,WC_1011,Daisuke TAKAHASHI,MEN_SP,8.50,0.57,0,0,0,0,0,0,0,1,0,2011-04-25
3Lz,WC_1011,Daisuke TAKAHASHI,MEN_SP,6.00,0.90,0,0,0,0,0,0,0,1,0,2011-04-25
4T+3T,WC_1011,Artur GACHINSKI,MEN_SP,14.40,1.57,0,0,0,0,0,0,1,1,0,2011-04-25
3A,WC_1011,Artur GACHINSKI,MEN_SP,8.50,0.43,0,0,0,0,0,0,0,1,0,2011-04-25
3Lo,WC_1011,Artur GACHINSKI,MEN_SP,5.10,-1.30,0,0,0,0,0,0,0,1,0,2011-04-25
3A,WC_1011,Florent AMODIO,MEN_SP,8.50,1.86,0,0,0,0,0,0,0,1,0,2011-04-25
3Lz+3T,WC_1011,Florent AMODIO,MEN_SP,10.10,0.80,0,0,0,0,0,0,0,2,0,2011-04-25
3F,WC_1011,Florent AMODIO,MEN_SP,5.30,-0.70,1,0,0,0,0,1,0,1,0,2011-04-25
3Lz+3T,WC_1011,Takahiko KOZUKA,MEN_SP,10.10,1.30,0,0,0,0,0,0,0,2,0,2011-04-25
3A,WC_1011,Takahiko KOZUKA,MEN_SP,8.50,-1.86,0,0,0,0,0,0,0,1,0,2011-04-25
3F,WC_1011,Takahiko KOZUKA,MEN_SP,5.30,0.70,0,0,0,0,0,0,0,1,0,2011-04-25
3A,WC_1011,Michal BREZINA,MEN_SP,8.50,1.71,0,0,0,0,0,0,0,1,0,2011-04-25
3F+3T,WC_1011,Michal BREZINA,MEN_SP,9.40,-0.20,0,0,0,0,0,0,0,2,0,2011-04-25
3Lz,WC_1011,Michal BREZINA,MEN_SP,6.00,0.40,0,0,0,0,0,0,0,1,0,2011-04-25
4T,WC_1011,Tomas VERNER,MEN_SP,10.30,-3.00,0,0,0,0,0,0,1,0,0,2011-04-25
3A,WC_1011,Tomas VERNER,MEN_SP,8.50,0.14,0,0,0,0,0,0,0,1,0,2011-04-25
3Lz+3T,WC_1011,Tomas VERNER,MEN_SP,10.10,-0.90,0,0,0,0,0,0,0,2,0,2011-04-25
4T,WC_1011,Brian JOUBERT,MEN_SP,10.30,-3.00,0,0,0,0,1,1,1,0,0,2011-04-25
3A,WC_1011,Brian JOUBERT,MEN_SP,8.50,1.00,0,0,0,0,0,0,0,1,0,2011-04-25
3F,WC_1011,Brian JOUBERT,MEN_SP,5.30,-0.50,1,0,0,0,0,1,0,1,0,2011-04-25
3A,WC_1011,Denis TEN,MEN_SP,8.50,1.29,0,0,0,0,0,0,0,1,0,2011-04-25
3Lz+3T,WC_1011,Denis TEN,MEN_SP,10.10,-0.20,0,0,0,0,0,0,0,2,0,2011-04-25
3F,WC_1011,Denis TEN,MEN_SP,5.30,0.10,0,0,0,0,0,0,0,1,0,2011-04-25
3Lz+3T,WC_1011,Richard DORNBUSH,MEN_SP,10.10,0.40,0,0,0,0,0,0,0,2,0,2011-04-25
3A,WC_1011,Richard DORNBUSH,MEN_SP,8.50,-1.00,0,0,0,0,0,0,0,1,0,2011-04-25
3F,WC_1011,Richard DORNBUSH,MEN_SP,5.30,-0.70,1,0,0,0,0,1,0,1,0,2011-04-25
4T+2T,WC_1011,Ryan BRADLEY,MEN_SP,11.70,0.00,0,0,0,0,0,0,1,0,1,2011-04-25
3A,WC_1011,Ryan BRADLEY,MEN_SP,8.50,1.00,0,0,0,0,0,0,0,1,0,2011-04-25
3F,WC_1011,Ryan BRADLEY,MEN_SP,5.30,0.10,0,0,0,0,0,0,0,1,0,2011-04-25
3A,WC_1011,Ross MINER,MEN_SP,8.50,0.86,0,0,0,0,0,0,0,1,0,2011-04-25
3Lz+3T,WC_1011,Ross MINER,MEN_SP,10.10,0.70,0,0,0,0,0,0,0,2,0,2011-04-25
3F,WC_1011,Ross MINER,MEN_SP,5.30,-0.20,1,0,0,0,0,1,0,1,0,2011-04-25
3A,WC_1011,Javier FERNANDEZ,MEN_SP,8.50,1.71,0,0,0,0,0,0,0,1,0,2011-04-25
3F+3T,WC_1011,Javier FERNANDEZ,MEN_SP,9.40,-1.40,0,0,0,0,0,0,0,2,0,2011-04-25
3Lz,WC_1011,Javier FERNANDEZ,MEN_SP,6.00,0.00,0,0,0,0,0,0,0,1,0,2011-04-25
4T,WC_1011,Kevin VAN DER PERREN,MEN_SP,7.20,-3.00,0,1,0,0,0,1,1,0,0,2011-04-25
3A,WC_1011,Kevin VAN DER PERREN,MEN_SP,8.50,1.29,0,0,0,0,0,0,0,1,0,2011-04-25
3F+3T,WC_1011,Kevin VAN DER PERREN,MEN_SP,9.40,0.80,0,0,0,0,0,0,0,2,0,2011-04-25
3F+3T,WC_1011,Peter LIEBERS,MEN_SP,9.40,1.00,0,0,0,0,0,0,0,2,0,2011-04-25
3A,WC_1011,Peter LIEBERS,MEN_SP,8.50,0.86,0,0,0,0,0,0,0,1,0,2011-04-25
3Lz,WC_1011,Peter LIEBERS,MEN_SP,6.00,-0.60,0,0,0,0,0,0,0,1,0,2011-04-25
3A,WC_1011,Anton KOVALEVSKI,MEN_SP,8.50,-1.57,0,0,0,0,0,0,0,1,0,2011-04-25
3Lz+3T,WC_1011,Anton KOVALEVSKI,MEN_SP,10.10,0.00,0,0,0,0,0,0,0,2,0,2011-04-25
3Lo,WC_1011,Anton KOVALEVSKI,MEN_SP,5.10,-0.70,0,0,0,0,0,0,0,1,0,2011-04-25
3Lz+3T,WC_1011,Samuel CONTESTI,MEN_SP,10.10,0.50,0,0,0,0,0,0,0,2,0,2011-04-25
1A,WC_1011,Samuel CONTESTI,MEN_SP,1.10,-0.60,0,0,0,0,0,0,0,0,0,2011-04-25
3F,WC_1011,Samuel CONTESTI,MEN_SP,5.30,-0.40,0,0,0,0,0,0,0,1,0,2011-04-25
4S,WC_1011,Kevin REYNOLDS,MEN_SP,7.40,-3.00,0,1,0,0,0,1,1,0,0,2011-04-25
3A,WC_1011,Kevin REYNOLDS,MEN_SP,8.50,-0.57,0,0,0,0,0,0,0,1,0,2011-04-25
3Lz+3T,WC_1011,Kevin REYNOLDS,MEN_SP,10.10,0.00,0,0,0,0,0,0,0,2,0,2011-04-25
3Lz+3T,WC_1011,Nan SONG,MEN_SP,10.10,0.30,0,0,0,0,0,0,0,2,0,2011-04-25
3A,WC_1011,Nan SONG,MEN_SP,8.50,0.86,0,0,0,0,0,0,0,1,0,2011-04-25
3F,WC_1011,Nan SONG,MEN_SP,5.30,-1.20,1,0,0,0,0,1,0,1,0,2011-04-25
3A,WC_1011,Joey RUSSELL,MEN_SP,8.50,0.00,0,0,0,0,0,0,0,1,0,2011-04-25
3F,WC_1011,Joey RUSSELL,MEN_SP,3.70,-2.10,0,1,0,0,0,1,0,1,0,2011-04-25
3Lz+3T,WC_1011,Joey RUSSELL,MEN_SP,8.90,-1.20,0,1,0,0,0,1,0,2,0,2011-04-25
3Lz+3T,WC_1011,Jorik HENDRICKX,MEN_SP,10.10,-0.70,0,0,0,0,0,0,0,2,0,2011-04-25
3Lo,WC_1011,Jorik HENDRICKX,MEN_SP,5.10,-0.70,0,0,0,0,0,0,0,1,0,2011-04-25
2A,WC_1011,Jorik HENDRICKX,MEN_SP,3.30,0.43,0,0,0,0,0,0,0,0,1,2011-04-25
3A,WC_1011,Paolo BACCHINI,MEN_SP,8.50,-3.00,0,0,0,0,0,0,0,1,0,2011-04-25
3Lz+3T,WC_1011,Paolo BACCHINI,MEN_SP,10.10,-0.70,0,0,0,0,0,0,0,2,0,2011-04-25
3Lo,WC_1011,Paolo BACCHINI,MEN_SP,5.10,-0.50,0,0,0,0,0,0,0,1,0,2011-04-25
3A,WC_1011,Kim LUCINE,MEN_SP,8.50,-3.00,0,0,0,0,0,0,0,1,0,2011-04-25
3F+3T,WC_1011,Kim LUCINE,MEN_SP,9.40,0.30,0,0,0,0,0,0,0,2,0,2011-04-25
3Lz,WC_1011,Kim LUCINE,MEN_SP,6.00,-0.30,0,0,0,0,0,0,0,1,0,2011-04-25
3F+3T,WC_1011,Adrian SCHULTHEISS,MEN_SP,9.40,0.50,0,0,0,0,0,0,0,2,0,2011-04-25
3A,WC_1011,Adrian SCHULTHEISS,MEN_SP,8.50,-2.00,0,0,0,0,0,0,0,1,0,2011-04-25
3Lz,WC_1011,Adrian SCHULTHEISS,MEN_SP,6.00,-2.10,0,0,0,0,0,0,0,1,0,2011-04-25
3Lz,WC_1011,Viktor PFEIFER,MEN_SP,6.00,0.60,0,0,0,0,0,0,0,1,0,2011-04-25
3S+3T,WC_1011,Viktor PFEIFER,MEN_SP,8.30,0.20,0,0,0,0,0,0,0,2,0,2011-04-25
2A,WC_1011,Viktor PFEIFER,MEN_SP,3.30,-1.50,0,0,0,0,0,0,0,0,1,2011-04-25
3A,WC_1011,Min-Seok KIM,MEN_SP,8.50,0.29,0,0,0,0,0,0,0,1,0,2011-04-25
3S+2Lo,WC_1011,Min-Seok KIM,MEN_SP,6.00,0.00,0,0,0,0,0,0,0,1,1,2011-04-25
3Lz,WC_1011,Min-Seok KIM,MEN_SP,6.00,-1.00,0,0,0,0,0,0,0,1,0,2011-04-25
3A,WC_1011,Alexander MAJOROV,MEN_SP,6.00,-3.00,0,1,0,0,0,1,0,1,0,2011-04-25
1Lz+1T,WC_1011,Alexander MAJOROV,MEN_SP,1.00,-0.30,0,0,0,0,0,0,0,0,0,2011-04-25
3F,WC_1011,Alexander MAJOROV,MEN_SP,5.30,0.10,0,0,0,0,0,0,0,1,0,2011-04-25
3A,WC_1011,Maxim SHIPOV,MEN_SP,8.50,-3.00,0,0,0,0,0,0,0,1,0,2011-04-25
3F+2T,WC_1011,Maxim SHIPOV,MEN_SP,6.70,-1.90,0,0,0,0,0,0,0,1,1,2011-04-25
3Lz,WC_1011,Maxim SHIPOV,MEN_SP,6.00,0.00,0,0,0,0,0,0,0,1,0,2011-04-25
3F,WC_1011,Misha GE,MEN_SP,5.30,-2.10,1,0,0,0,0,1,0,1,0,2011-04-25
3Lz+3T,WC_1011,Misha GE,MEN_SP,8.90,-1.60,0,1,0,0,0,1,0,2,0,2011-04-25
2A,WC_1011,Misha GE,MEN_SP,3.30,0.07,0,0,0,0,0,0,0,0,1,2011-04-25
4T,WC_1011,Patrick CHAN,MEN_FS,10.30,1.29,0,0,0,0,0,0,1,0,0,2011-04-25
4T+3T,WC_1011,Patrick CHAN,MEN_FS,14.40,2.43,0,0,0,0,0,0,1,1,0,2011-04-25
3Lz,WC_1011,Patrick CHAN,MEN_FS,6.00,0.90,0,0,0,0,0,0,0,1,0,2011-04-25
3A,WC_1011,Patrick CHAN,MEN_FS,9.35,-1.57,0,0,0,0,0,0,0,1,0,2011-04-25
3Lz+1Lo+3S,WC_1011,Patrick CHAN,MEN_FS,11.77,1.20,0,0,0,0,0,0,0,2,0,2011-04-25
3F,WC_1011,Patrick CHAN,MEN_FS,5.83,1.40,0,0,0,0,0,0,0,1,0,2011-04-25
3Lo,WC_1011,Patrick CHAN,MEN_FS,5.61,0.10,0,0,0,0,0,0,0,1,0,2011-04-25
2A+2T,WC_1011,Patrick CHAN,MEN_FS,5.17,0.50,0,0,0,0,0,0,0,0,2,2011-04-25
4T,WC_1011,Takahiko KOZUKA,MEN_FS,10.30,2.29,0,0,0,0,0,0,1,0,0,2011-04-25
3A,WC_1011,Takahiko KOZUKA,MEN_FS,8.50,2.43,0,0,0,0,0,0,0,1,0,2011-04-25
3Lz+2T,WC_1011,Takahiko KOZUKA,MEN_FS,7.40,1.00,0,0,0,0,0,0,0,1,1,2011-04-25
3A+2T+2Lo,WC_1011,Takahiko KOZUKA,MEN_FS,12.87,1.57,0,0,0,0,0,0,0,1,2,2011-04-25
3F,WC_1011,Takahiko KOZUKA,MEN_FS,5.83,1.00,0,0,0,0,0,0,0,1,0,2011-04-25
3Lz+3T,WC_1011,Takahiko KOZUKA,MEN_FS,11.11,1.40,0,0,0,0,0,0,0,2,0,2011-04-25
3Lo,WC_1011,Takahiko KOZUKA,MEN_FS,5.61,1.00,0,0,0,0,0,0,0,1,0,2011-04-25
3S,WC_1011,Takahiko KOZUKA,MEN_FS,4.62,0.80,0,0,0,0,0,0,0,1,0,2011-04-25
4T,WC_1011,Artur GACHINSKI,MEN_FS,10.30,1.71,0,0,0,0,0,0,1,0,0,2011-04-25
3A+2T+2Lo,WC_1011,Artur GACHINSKI,MEN_FS,11.70,-0.57,0,0,0,0,0,0,0,1,2,2011-04-25
3A,WC_1011,Artur GACHINSKI,MEN_FS,8.50,1.00,0,0,0,0,0,0,0,1,0,2011-04-25
3Lz+3T,WC_1011,Artur GACHINSKI,MEN_FS,10.10,1.10,0,0,0,0,0,0,0,2,0,2011-04-25
3Lo,WC_1011,Artur GACHINSKI,MEN_FS,5.10,0.10,0,0,0,0,0,0,0,1,0,2011-04-25
3Lz,WC_1011,Artur GACHINSKI,MEN_FS,6.60,0.60,0,0,0,0,0,0,0,1,0,2011-04-25
3F,WC_1011,Artur GACHINSKI,MEN_FS,5.83,-0.70,1,0,0,0,0,1,0,1,0,2011-04-25
2A+2A+SEQ,WC_1011,Artur GACHINSKI,MEN_FS,5.81,0.21,0,0,0,0,0,0,0,0,2,2011-04-25
4T,WC_1011,Brian JOUBERT,MEN_FS,10.30,2.57,0,0,0,0,0,0,1,0,0,2011-04-25
3T,WC_1011,Brian JOUBERT,MEN_FS,4.10,1.10,0,0,0,0,0,0,0,1,0,2011-04-25
3A+2T,WC_1011,Brian JOUBERT,MEN_FS,9.90,0.29,0,0,0,0,0,0,0,1,1,2011-04-25
3Lz,WC_1011,Brian JOUBERT,MEN_FS,6.60,1.20,0,0,0,0,0,0,0,1,0,2011-04-25
3A,WC_1011,Brian JOUBERT,MEN_FS,9.35,0.43,0,0,0,0,0,0,0,1,0,2011-04-25
3S+2T,WC_1011,Brian JOUBERT,MEN_FS,6.16,0.80,0,0,0,0,0,0,0,1,1,2011-04-25
3Lo+3T,WC_1011,Brian JOUBERT,MEN_FS,10.12,-1.10,0,0,0,0,0,0,0,2,0,2011-04-25
3F,WC_1011,Brian JOUBERT,MEN_FS,5.83,-0.30,1,0,0,0,0,1,0,1,0,2011-04-25
3A,WC_1011,Michal BREZINA,MEN_FS,8.50,2.14,0,0,0,0,0,0,0,1,0,2011-04-25
4T,WC_1011,Michal BREZINA,MEN_FS,10.30,0.71,0,0,0,0,0,0,1,0,0,2011-04-25
4S,WC_1011,Michal BREZINA,MEN_FS,10.50,0.29,0,0,0,0,0,0,1,0,0,2011-04-25
3A+2T,WC_1011,Michal BREZINA,MEN_FS,10.89,1.14,0,0,0,0,0,0,0,1,1,2011-04-25
3F+3T,WC_1011,Michal BREZINA,MEN_FS,10.34,-0.60,0,0,0,0,0,0,0,2,0,2011-04-25
2A,WC_1011,Michal BREZINA,MEN_FS,3.63,0.36,0,0,0,0,0,0,0,0,1,2011-04-25
3Lz,WC_1011,Michal BREZINA,MEN_FS,6.60,-2.10,0,0,0,0,0,0,0,1,0,2011-04-25
3F,WC_1011,Michal BREZINA,MEN_FS,5.83,-2.10,0,0,0,0,0,0,0,1,0,2011-04-25
1T,WC_1011,Daisuke TAKAHASHI,MEN_FS,0.40,-0.24,0,0,0,0,0,0,0,0,0,2011-04-25
3F+3T,WC_1011,Daisuke TAKAHASHI,MEN_FS,9.40,0.80,0,0,0,0,0,0,0,2,0,2011-04-25
3Lo+2Lo+2T,WC_1011,Daisuke TAKAHASHI,MEN_FS,8.30,0.10,0,0,0,0,0,0,0,1,2,2011-04-25
3A,WC_1011,Daisuke TAKAHASHI,MEN_FS,9.35,-1.86,0,0,0,0,0,0,0,1,0,2011-04-25
3A+2T,WC_1011,Daisuke TAKAHASHI,MEN_FS,10.89,0.86,0,0,0,0,0,0,0,1,1,2011-04-25
3S,WC_1011,Daisuke TAKAHASHI,MEN_FS,4.62,-2.10,0,0,0,0,0,0,0,1,0,2011-04-25
3F,WC_1011,Daisuke TAKAHASHI,MEN_FS,5.83,0.20,0,0,0,0,0,0,0,1,0,2011-04-25
3Lz,WC_1011,Daisuke TAKAHASHI,MEN_FS,6.60,-0.60,1,0,0,0,0,1,0,1,0,2011-04-25
3A,WC_1011,Florent AMODIO,MEN_FS,8.50,1.43,0,0,0,0,0,0,0,1,0,2011-04-25
3A+2T,WC_1011,Florent AMODIO,MEN_FS,9.90,1.86,0,0,0,0,0,0,0,1,1,2011-04-25
3Lo,WC_1011,Florent AMODIO,MEN_FS,5.10,0.60,0,0,0,0,0,0,0,1,0,2011-04-25
2S+1Lo+3S,WC_1011,Florent AMODIO,MEN_FS,6.71,0.30,0,0,0,0,0,0,0,1,1,2011-04-25
3Lz,WC_1011,Florent AMODIO,MEN_FS,6.60,0.50,0,0,0,0,0,0,0,1,0,2011-04-25
3F,WC_1011,Florent AMODIO,MEN_FS,5.83,-0.70,1,0,0,0,0,1,0,1,0,2011-04-25
3Lz+2T,WC_1011,Florent AMODIO,MEN_FS,8.14,0.10,0,0,0,0,0,0,0,1,1,2011-04-25
2A,WC_1011,Florent AMODIO,MEN_FS,3.63,0.00,0,0,0,0,0,0,0,0,1,2011-04-25
3F,WC_1011,Richard DORNBUSH,MEN_FS,5.30,0.50,0,0,0,0,0,0,0,1,0,2011-04-25
3A,WC_1011,Richard DORNBUSH,MEN_FS,8.50,-0.43,0,0,0,0,0,0,0,1,0,2011-04-25
3Lz,WC_1011,Richard DORNBUSH,MEN_FS,6.00,0.80,0,0,0,0,0,0,0,1,0,2011-04-25
3A+3T,WC_1011,Richard DORNBUSH,MEN_FS,13.86,1.86,0,0,0,0,0,0,0,2,0,2011-04-25
2S,WC_1011,Richard DORNBUSH,MEN_FS,1.54,0.03,0,0,0,0,0,0,0,0,1,2011-04-25
3Lz+2T+2Lo,WC_1011,Richard DORNBUSH,MEN_FS,10.12,0.70,0,0,0,0,0,0,0,1,2,2011-04-25
2A+2A+SEQ,WC_1011,Richard DORNBUSH,MEN_FS,5.81,0.50,0,0,0,0,0,0,0,0,2,2011-04-25
3Lo,WC_1011,Richard DORNBUSH,MEN_FS,5.61,0.00,0,0,0,0,0,0,0,1,0,2011-04-25
3T+3T,WC_1011,Nobunari ODA,MEN_FS,8.20,1.40,0,0,0,0,0,0,0,2,0,2011-04-25
3A+3T,WC_1011,Nobunari ODA,MEN_FS,0.00,0.00,0,0,0,1,0,1,0,2,0,2011-04-25
3F,WC_1011,Nobunari ODA,MEN_FS,5.30,1.30,0,0,0,0,0,0,0,1,0,2011-04-25
3A,WC_1011,Nobunari ODA,MEN_FS,9.35,1.71,0,0,0,0,0,0,0,1,0,2011-04-25
3Lz+2T+2Lo,WC_1011,Nobunari ODA,MEN_FS,10.12,0.30,0,0,0,0,0,0,0,1,2,2011-04-25
3Lo,WC_1011,Nobunari ODA,MEN_FS,5.61,1.10,0,0,0,0,0,0,0,1,0,2011-04-25
3S,WC_1011,Nobunari ODA,MEN_FS,4.62,0.80,0,0,0,0,0,0,0,1,0,2011-04-25
2A,WC_1011,Nobunari ODA,MEN_FS,3.63,0.57,0,0,0,0,0,0,0,0,1,2011-04-25
4T,WC_1011,Javier FERNANDEZ,MEN_FS,10.30,0.43,0,0,0,0,0,0,1,0,0,2011-04-25
4S,WC_1011,Javier FERNANDEZ,MEN_FS,10.50,-0.43,0,0,0,0,0,0,1,0,0,2011-04-25
3A,WC_1011,Javier FERNANDEZ,MEN_FS,8.50,1.29,0,0,0,0,0,0,0,1,0,2011-04-25
3A+3T,WC_1011,Javier FERNANDEZ,MEN_FS,13.86,-2.14,0,0,0,0,0,0,0,2,0,2011-04-25
3Lz+2A+SEQ,WC_1011,Javier FERNANDEZ,MEN_FS,8.18,0.00,0,0,0,0,0,0,0,1,1,2011-04-25
3F,WC_1011,Javier FERNANDEZ,MEN_FS,5.83,-0.30,1,0,0,0,0,1,0,1,0,2011-04-25
3S+2T+2T,WC_1011,Javier FERNANDEZ,MEN_FS,7.70,0.00,0,0,0,0,0,0,0,1,2,2011-04-25
3Lo,WC_1011,Javier FERNANDEZ,MEN_FS,5.61,0.30,0,0,0,0,0,0,0,1,0,2011-04-25
3A+2T,WC_1011,Ross MINER,MEN_FS,9.90,1.14,0,0,0,0,0,0,0,1,1,2011-04-25
3Lz+3T,WC_1011,Ross MINER,MEN_FS,10.10,0.50,0,0,0,0,0,0,0,2,0,2011-04-25
3A,WC_1011,Ross MINER,MEN_FS,8.50,1.00,0,0,0,0,0,0,0,1,0,2011-04-25
3Lo,WC_1011,Ross MINER,MEN_FS,5.61,0.40,0,0,0,0,0,0,0,1,0,2011-04-25
3Lz,WC_1011,Ross MINER,MEN_FS,6.60,1.40,0,0,0,0,0,0,0,1,0,2011-04-25
3S+2T+2T,WC_1011,Ross MINER,MEN_FS,7.70,0.20,0,0,0,0,0,0,0,1,2,2011-04-25
3F,WC_1011,Ross MINER,MEN_FS,5.83,0.80,0,0,0,0,0,0,0,1,0,2011-04-25
2A,WC_1011,Ross MINER,MEN_FS,3.63,0.14,0,0,0,0,0,0,0,0,1,2011-04-25
4T,WC_1011,Ryan BRADLEY,MEN_FS,10.30,0.71,0,0,0,0,0,0,1,0,0,2011-04-25
4T+1T,WC_1011,Ryan BRADLEY,MEN_FS,7.50,-2.57,0,1,0,0,0,1,1,0,0,2011-04-25
3A,WC_1011,Ryan BRADLEY,MEN_FS,8.50,1.43,0,0,0,0,0,0,0,1,0,2011-04-25
3Lz,WC_1011,Ryan BRADLEY,MEN_FS,6.00,0.40,0,0,0,0,0,0,0,1,0,2011-04-25
2A+2T,WC_1011,Ryan BRADLEY,MEN_FS,5.17,-0.07,0,0,0,0,0,0,0,0,2,2011-04-25
3Lo,WC_1011,Ryan BRADLEY,MEN_FS,5.61,0.50,0,0,0,0,0,0,0,1,0,2011-04-25
3S+3T+2T,WC_1011,Ryan BRADLEY,MEN_FS,10.67,-0.70,0,0,0,0,0,0,0,2,1,2011-04-25
3F,WC_1011,Ryan BRADLEY,MEN_FS,4.07,-0.70,0,1,0,0,0,1,0,1,0,2011-04-25
4T,WC_1011,Tomas VERNER,MEN_FS,4.10,-2.10,0,0,1,0,0,1,1,0,0,2011-04-25
3A,WC_1011,Tomas VERNER,MEN_FS,8.50,-0.43,0,0,0,0,0,0,0,1,0,2011-04-25
3Lo,WC_1011,Tomas VERNER,MEN_FS,5.10,0.70,0,0,0,0,0,0,0,1,0,2011-04-25
2A,WC_1011,Tomas VERNER,MEN_FS,3.63,-1.36,0,0,0,0,0,0,0,0,1,2011-04-25
3Lz,WC_1011,Tomas VERNER,MEN_FS,6.60,0.80,0,0,0,0,0,0,0,1,0,2011-04-25
3S,WC_1011,Tomas VERNER,MEN_FS,4.62,0.80,0,0,0,0,0,0,0,1,0,2011-04-25
3F+2T,WC_1011,Tomas VERNER,MEN_FS,7.37,-0.70,1,0,0,0,0,1,0,1,1,2011-04-25
3Lz+2T+2Lo,WC_1011,Tomas VERNER,MEN_FS,10.12,0.20,0,0,0,0,0,0,0,1,2,2011-04-25
3A,WC_1011,Denis TEN,MEN_FS,8.50,-3.00,0,0,0,0,0,0,0,1,0,2011-04-25
3Lz+3T,WC_1011,Denis TEN,MEN_FS,10.10,0.70,0,0,0,0,0,0,0,2,0,2011-04-25
3S,WC_1011,Denis TEN,MEN_FS,4.20,0.90,0,0,0,0,0,0,0,1,0,2011-04-25
3F,WC_1011,Denis TEN,MEN_FS,5.30,0.70,0,0,0,0,0,0,0,1,0,2011-04-25
3A+SEQ,WC_1011,Denis TEN,MEN_FS,5.28,-3.00,0,1,0,0,0,1,0,1,0,2011-04-25
3Lo,WC_1011,Denis TEN,MEN_FS,5.61,0.90,0,0,0,0,0,0,0,1,0,2011-04-25
3Lz,WC_1011,Denis TEN,MEN_FS,6.60,0.60,0,0,0,0,0,0,0,1,0,2011-04-25
2A+2T+2T,WC_1011,Denis TEN,MEN_FS,6.71,0.14,0,0,0,0,0,0,0,0,3,2011-04-25
3F+3T,WC_1011,Peter LIEBERS,MEN_FS,9.40,-0.80,1,0,0,0,0,1,0,2,0,2011-04-25
3A+2T,WC_1011,Peter LIEBERS,MEN_FS,9.90,0.00,0,0,0,0,0,0,0,1,1,2011-04-25
3Lz,WC_1011,Peter LIEBERS,MEN_FS,6.00,0.60,0,0,0,0,0,0,0,1,0,2011-04-25
3A,WC_1011,Peter LIEBERS,MEN_FS,9.35,1.00,0,0,0,0,0,0,0,1,0,2011-04-25
3Lz+2T+2T,WC_1011,Peter LIEBERS,MEN_FS,9.68,0.10,0,0,0,0,0,0,0,1,2,2011-04-25
3Lo,WC_1011,Peter LIEBERS,MEN_FS,5.61,0.00,0,0,0,0,0,0,0,1,0,2011-04-25
3S,WC_1011,Peter LIEBERS,MEN_FS,4.62,0.30,0,0,0,0,0,0,0,1,0,2011-04-25
2A,WC_1011,Peter LIEBERS,MEN_FS,3.63,-0.07,0,0,0,0,0,0,0,0,1,2011-04-25
3A+2T,WC_1011,Anton KOVALEVSKI,MEN_FS,9.90,0.57,0,0,0,0,0,0,0,1,1,2011-04-25
3A,WC_1011,Anton KOVALEVSKI,MEN_FS,8.50,-1.00,0,0,0,0,0,0,0,1,0,2011-04-25
3Lz+2T,WC_1011,Anton KOVALEVSKI,MEN_FS,7.40,0.50,0,0,0,0,0,0,0,1,1,2011-04-25
2A,WC_1011,Anton KOVALEVSKI,MEN_FS,3.30,0.79,0,0,0,0,0,0,0,0,1,2011-04-25
3Lo,WC_1011,Anton KOVALEVSKI,MEN_FS,5.10,0.20,0,0,0,0,0,0,0,1,0,2011-04-25
3T+3T+2T,WC_1011,Anton KOVALEVSKI,MEN_FS,10.56,0.60,0,0,0,0,0,0,0,2,1,2011-04-25
2S,WC_1011,Anton KOVALEVSKI,MEN_FS,1.54,0.00,0,0,0,0,0,0,0,0,1,2011-04-25
2A,WC_1011,Anton KOVALEVSKI,MEN_FS,3.63,0.43,0,0,0,0,0,0,0,0,1,2011-04-25
2A,WC_1011,Samuel CONTESTI,MEN_FS,3.30,0.57,0,0,0,0,0,0,0,0,1,2011-04-25
3F,WC_1011,Samuel CONTESTI,MEN_FS,5.30,0.50,0,0,0,0,0,0,0,1,0,2011-04-25
3Lz,WC_1011,Samuel CONTESTI,MEN_FS,6.00,0.40,0,0,0,0,0,0,0,1,0,2011-04-25
3A+2T+2T,WC_1011,Samuel CONTESTI,MEN_FS,12.43,0.14,0,0,0,0,0,0,0,1,2,2011-04-25
3Lo,WC_1011,Samuel CONTESTI,MEN_FS,5.61,0.00,0,0,0,0,0,0,0,1,0,2011-04-25
2A+2T,WC_1011,Samuel CONTESTI,MEN_FS,5.17,0.00,0,0,0,0,0,0,0,0,2,2011-04-25
3S+2T,WC_1011,Samuel CONTESTI,MEN_FS,6.16,0.50,0,0,0,0,0,0,0,1,1,2011-04-25
