comp_id,event,j1_name,j2_name,j3_name,j4_name,j5_name,j6_name,j7_name,j8_name,j9_name,j1_nat,j2_nat,j3_nat,j4_nat,j5_nat,j6_nat,j7_nat,j8_nat,j9_nat
GPCAN_1415,LADIES_SP,Marco BUTTARELLI,William S SMITH,Jodi ABBOTT,Jung-Sue LEE,Guangying QIN,Emilie BILLOW,Sakae YAMAMOTO,Jan HOFFMANN,Maira ABASOVA,ITA,USA,CAN,KOR,CHN,SWE,JPN,GER,RUS
GPCAN_1516,MEN_SP,Christiane MOERTH,Doug WILLIAMS,Vera TAUCHMANOVA,Shizuko UGAKI,Walter TOIGO,Andrea DERBY,Chihee RHEE,Daniel DELFA,Maira ABASOVA,AUT,USA,CZE,JPN,ITA,CAN,KOR,ESP,RUS
OLY_1314,MEN_FS,Igor OBRAZTSOV,Yukiko OKABE,Kadi ZVIRIK,Stanislava SMIDOVA,Daniel DELFA,Peter LEVIN,Samuel AUXIER,Jan HOFFMANN,Francoise DE RAPPARD,RUS,JPN,EST,CZE,ESP,SWE,USA,GER,BEL
GPFRA_1920,LADIES_SP,Karin EHRHARDT,Nobuhiko YOSHIOKA,Claudia FASSORA,Deveny DECK,Olga KOZHEMYAKINA,Helene CUCUPHAT,Alexei BELETSKI,Malgorzata SOBKOW,Francoise DE RAPPARD,AUT,JPN,SUI,USA,RUS,FRA,ISR,POL,BEL
GPFRA_1920,LADIES_FS,Karin EHRHARDT,Nobuhiko YOSHIOKA,Claudia FASSORA,Deveny DECK,Olga KOZHEMYAKINA,Helene CUCUPHAT,Alexei BELETSKI,Malgorzata SOBKOW,Francoise DE RAPPARD,AUT,JPN,SUI,USA,RUS,FRA,ISR,POL,BEL
WC_1314,LADIES_FS,Deborah NOYES,Kristina LUNDGREN,Laimute KRAUZIENE,Dagmar LURZ-PROTT,Cynthia BENSON,Anthony LEROY,Yury KLIUSHNIKOV,Kristina HOUWING,Francoise DE RAPPARD,AUS,USA,LTU,GER,CAN,FRA,AZE,SWE,BEL
EC_1213,MEN_SP,Philippe MERIGUET,Saioa SANCHO,Katalin BALCZO,Kersten BELLMANN,Anna KANTOR,Ebru ANILDI,Asa NORDBACK,Lone AMSTRUP LINNEMANN,Francoise DE RAPPARD,FRA,ESP,HUN,GER,ISR,TUR,SWE,DEN,BEL
EC_1011,LADIES_SP,Yury KLIUSHNIKOV,Peter LEVIN,Zsuzsanna VIKARNE-HOMOLYA,Antica GRUBISIC,Christiane MILES,Gloria MORANDI,Gavril VELCHEV,Ebru ANILDI,Francoise DE RAPPARD,AZE,SWE,HUN,CRO,SUI,ITA,ISU,TUR,BEL
EC_1011,MEN_FS,Alla SHEKHOVTSOVA,Saioa SANCHO,Halina GORDON POLTORAK,Mona JONSSON,Laimute KRAUZIENE,Alexander PENCHEV,Marina BESCHEA,Birgit FOELL,Francoise DE RAPPARD,RUS,ESP,POL,SWE,LTU,ISU,ROM,GER,BEL
GPFRA_1011,MEN_SP,Vladislav PETUKHOV,Weiguang CHEN,Yoshiko KOBAYASHI,Andrea DERBY,Joyce D KOMPERDA,Jarmila PORTOVA,Francis BETSCH,Jan HOFFMANN,Igor OBRAZTSOV,UKR,CHN,JPN,CAN,USA,CZE,FRA,GER,RUS
